nombre,localidad,url_ficha,slug,descripcion
Bodega Cooperativa Albarizas,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/bodega-cooperativa-albarizas,bodega-cooperativa-albarizas,"La Bodega Cooperativa Albarizas de Trebujena es una parada imprescindible para descubrir la esencia vitivinícola del Bajo Guadalquivir y del Marco de Jerez. Fundada en 1977, reúne a generaciones de..."
Bodega Gago & Co. Barrels – Wines,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/gago-co-barrels-wines,gago-co-barrels-wines,"Gago & Co. Barrels & Wines, con sede en Calle Arcos 51, Jerez de la Frontera, especializada en la selección, comercialización y promoción de vinos, barricas de roble y experiencias..."
Bodega Mar 7,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/mar-7,mar-7,"Bodega MAR 7 – 1840 es un proyecto que se puso en marcha en agosto de 2014 con el objetivo de homenajear a sus antepasados bodegueros, ofrecer una selección de vinos de calidad de la zona,..."
"Bodega, Viña Y Casa Rural Santa Petronila",Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/casa-rural-santa-petronila-y-bodega,casa-rural-santa-petronila-y-bodega,"El Cortijo Viña Santa Petronila (1727), se ubica en medio del Jerez Superior, la mejor zona vinícola del Marco de Jerez. Totalmente rodeada de viñedos, es el sitio perfecto para un grupo de..."
Bodegas Ac Wines & Spirits – Sucesores...,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-ac-wines-spirits-sucesores-de-g-de-angulo,bodegas-ac-wines-spirits-sucesores-de-g-de-angulo,"El casco bodeguero, construido en 1855, se encuentra entre la calle Fariñas y la plaza de las Siete Revueltas, un lugar privilegiado para la crianza de manzanillas. Situado en la parte más antigua..."
Bodegas Altanza,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-altanza,bodegas-altanza,"Bodegas Altanza se instaló en el Marco de Jerez en 2019, de la mano de Roberto Amillo, en unas bodegas centenarias rehabilitadas ubicadas en pleno Barrio de Santiago, en Jerez de la Frontera. Fieles..."
Bodegas Barbadillo,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-barbadillo,bodegas-barbadillo,"Fundada en 1821 en Sanlúcar de Barrameda y con seis generaciones de experiencia, Bodegas Barbadillo cumple una tradición centenaria como bodega 100% familiar productora de las denominaciones,..."
Bodegas Barón,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-baron,bodegas-baron,"Las Bodegas Barón están ubicadas en el barrio alto de Sanlúcar de Barrameda, frente a la desembocadura del río Guadalquivir, expuestas a la brisa marina del Atlántico. La bodega la forman..."
Bodegas Caydsa,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-caydsa,bodegas-caydsa,"Bodegas CAYDSA es una invitación a descubrir el alma más auténtica de Sanlúcar de Barrameda. Situada en el emblemático Barrio Alto y con cerca de dos siglos de historia, esta bodega centenaria..."
Bodegas Cayetano Del Pino,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cayetano-del-pino,bodegas-cayetano-del-pino,Cayetano del Pino y Cía. es una bodega de Jerez fundada en 1886. Una compañía bodeguera que a lo largo de su historia ha aunado la tradición y a la innovación. Su situación céntrica en la...
Bodegas Cortijo De Jara,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cortijo-de-jara,bodegas-cortijo-de-jara,"Cortijo de Jara es la marca bajo la que se comercializan los productos de una familia dedicada a la agricultura tradicional, que quiere acercarse a los consumidores con productos sanos y..."
Bodegas Delgado Zuleta,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-delgado-zuleta,bodegas-delgado-zuleta,"Delgado Zuleta es una de las bodegas más antiguas del Marco de Jerez. Fundada en 1744 por Don Francisco Gil de Ledesma, se sitúa en Sanlúcar de Barrameda, entorno de Doñana. Sus prestigiosas..."
Bodegas Dios Baco,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-dios-baco,bodegas-dios-baco,"Los orígenes de la Bodega se remontan al año 1765. A principios del siglo XX, se fundó la mítica firma Palomino & Vergara, por los señores jerezanos Don Juan Vergara y Don Juan Palomino. En..."
Bodegas Díez Mérito,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-diez-merito,bodegas-diez-merito,La historia de la Bodega Díez Mérito nace hace doscientos años y transcurre paralela a la propia historia de los vinos y brandys jerezanos. Esta casa vinatera conserva uno de los cascos más...
Bodegas Espinosa De Los Monteros,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-espinosa-de-los-monteros,bodegas-espinosa-de-los-monteros,"En Bodegas Espinosa de los Monteros se combinan vinos y guitarras, artes que conforman una simbiosis única en el mundo. Su objetivo no es otro que acercar y compartir sus vinos con vida propia a..."
Bodegas Forlong,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-forlong,bodegas-forlong,"Bodegas Forlong tiene sus instalaciones en el Puerto de Santa María, en una finca conocida como El Olivar de Forlón. Alejandro y Rocío tomaron el nombre y le añadieron la letra “g” al final...."
Bodegas Fundador,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-fundador,bodegas-fundador,"Visitar y recorrer algunas de las Bodegas más antiguas del marco de Jerez es una experiencia única. El marco arquitectónico, la armonía de sus edificaciones, sus jardines, patios y su entorno..."
Bodegas González Byass – Tío Pepe,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gonzalez-byass-tio-pepe,bodegas-gonzalez-byass-tio-pepe,"Las Bodegas Tío Pepe cuentan con un Conjunto Monumental de Bodegas, Patios y Calles interiores que datan de 1835, además de jardines catalogados de Históricos. Este conjunto se encuentra enclavado..."
Bodegas Gutiérrez Colosía,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gutierrez-colosia,bodegas-gutierrez-colosia,"Gutiérrez Colosía es una bodega familiar que se fundó en 1838. Hasta no hace mucho fue una bodega Almacenista, elaboraba vinos DO Jerez, pero no podía venderlos embotellados, por lo que los..."
Bodegas Halcón,Lebrija,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-halcon,bodegas-halcon,"Bodegas Halcón (antes Bodegas Marqués de San Gil), está estratégicamente situada en el núcleo histórico de Lebrija, limitando su extensa superficie con el trazado de la muralla almohade, con la..."
Bodegas Herederos De Argüeso,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-herederos-de-argueso,bodegas-herederos-de-argueso,"Hablar de Bodegas Argüeso es hablar de Manzanilla de Sanlúcar. Fundada en 1822 por D. León de Argüeso y Argüeso con vinos y vasijas de antiguas bodegas, la vejez de las soleras se estima en más..."
Bodegas Hidalgo – La Gitana,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-hidalgo-la-gitana,bodegas-hidalgo-la-gitana,"Hidalgo-La Gitana, se fundó en 1792 y en la actualidad, continúa siendo 100% familiar e independiente. La familia Hidalgo lleva más de 200 años criando, elaborando-envejeciendo y comercializando..."
Bodegas Luis Pérez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-luis-perez,bodegas-luis-perez,"En esta bodega familiar, hace más de una década decidieron ir a contracorriente y apostar por la elaboración de vinos tintos de autor en una región dominada por el cultivo de uva blanca. Tras la..."
Bodegas Lustau,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-lustau,bodegas-lustau,"Emilio Lustau S.A., fundada en 1896 como almacenista de vinos de Jerez en la viña Nuestra señora de la Esperanza, es una de las bodegas más exclusivas que existen en la actualidad en Jerez de la..."
Bodegas Manuel Aragón,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-manuel-aragon,bodegas-manuel-aragon,"Bodega Manuel Aragón S. L. es una bodega familiar que cuenta con un despacho directo al público que recibe el nombre de «El Sanatorio». Asimismo, ofrece catas de sus vinos y degustaciones de los..."
Bodegas Miguel Domecq – Entrechuelos,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-miguel-domecq-entrechuelos,bodegas-miguel-domecq-entrechuelos,"Entrechuelos es una bodega del Grupo familiar Miguel Domecq, ubicada en el Cortijo Torrecera en Jerez de la Frontera. La bodega produce vinos a partir de uvas producidas en su propio viñedo. En el..."
Bodegas Osborne,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-osborne,bodegas-osborne,"Las Bodegas Osborne, pertenecientes a una empresa familiar con más de 200 años de historia, están situadas en El Puerto de Santa María, en el corazón de la ciudad, y junto alguno de los puntos..."
Bodegas Páez Morilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-paez-morilla,bodegas-paez-morilla,"Bodega de tradición familiar, cuyo origen fue la pequeña solera de Vinagres de Vino de Jerez desarrollada desde 1910 por Don Francisco Páez Sánchez, base e inspiración para que a partir de 1945..."
Bodegas Real Tesoro & Valdespino,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-real-tesoro-valdespino,bodegas-real-tesoro-valdespino,La Bodega José Estévez es una compañía familiar productora y criadora de vinos y brandies de Jerez. Con la compra de la Bodega Marqués del Real Tesoro en 1989 y la adquisición de Valdespino en...
Bodegas Rey Fernando De Castilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-rey-fernando-de-castilla,bodegas-rey-fernando-de-castilla,"En las Bodegas Rey Fernando de Castilla, situadas en el casco histórico de Jerez, se almacenan verdaderos tesoros de esta famosa región vinícola. Los brandies de la casa, de una suavidad y..."
Bodegas Tradición,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-tradicion,bodegas-tradicion,"Bodegas Tradición está dedicada en exclusiva a la elaboración de los vinos de Jerez más añejos, calificados por el Consejo Regulador. Sus vinos están catalogados como V.O.S. – Very Old Sherry..."
Bodegas Williams & Humbert Sau,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-williams-humbert-sau,bodegas-williams-humbert-sau,"Desde 1877, las Bodegas Williams & Humbert se dedican a la elaboración y envejecimiento de Vinos y Brandies de Jerez. Su complejo bodeguero, Premio Nacional de Arquitectura y parte del..."
Bodegas Yuste,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-yuste,bodegas-yuste,"Ubicada en Sanlúcar de Barrameda, Bodegas Yuste es una bodega familiar que elabora vinos y destilados de primera calidad bajo la D.O. Manzanilla-Sanlúcar de Barrameda, D.O. Jerez-Xérès-Sherry,..."
Bodegas Álvaro Domecq,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-alvaro-domecq,bodegas-alvaro-domecq,En el año 1998 Álvaro Domecq Romero adquiere las antiguas Bodegas de Pilar Aranda y comienza a vender sus vinos bajo el nombre comercial: «Álvaro Domecq S.L.». Un nuevo camino que identifica la...
Cooperativa Agrícola Virgen De Palomares,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-agricola-virgen-de-palomares,cooperativa-agricola-virgen-de-palomares,"La Cooperativa Agrícola Virgen de Palomares es una de las bodegas más representativas del municipio de Trebujena. Fundada en 1977, esta cooperativa ha jugado un papel fundamental en la..."
Cooperativa De Viticultores Chiclaneros,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-de-viticultores-chiclaneros,cooperativa-de-viticultores-chiclaneros,"Esta cooperativa se fundó en el año 1992, heredada de una larga tradición cooperativista que tuvo su primera experiencia en la Colonia Vitivinícola en 1884. Absorbió parte de los socios y de las..."
Covisan – Cooperativa Vitivinícola Sanluqueña,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/covisan-cooperativa-vitivinicola-sanluquena,covisan-cooperativa-vitivinicola-sanluquena,"La Cooperativa del Campo Vitivinícola Sanluqueña COVISAN se constituyó el 13 de Julio de 1968, inicialmente formada por 41 socios. Actualmente, la cooperativa tiene una producción de unos..."
Finca La Pintora,Rota,https://rutadelvinojerez.es/empresas-y-servicios/finca-la-pintora,finca-la-pintora,"Finca La Pintora es un proyecto vitivinícola familiar situado en Rota (Cádiz) dedicado a la producción de vinos ecológicos de alta calidad, con especial protagonismo de la uva Tintilla de Rota,..."
Viña El Carmen,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/vina-el-carmen,vina-el-carmen,"Viña El Carmen se sitúa en el emblemático pago de Macharnudo, uno de los grandes referentes del viñedo del Marco de Jerez, rodeada por un paisaje de albariza y viñedo a 360 grados que define el..."
Viña La Torre,El Puerto de Santa María / Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/vina-la-torre-de-balbaina,vina-la-torre-de-balbaina,"Esta finca junto con la de Santa Lucía y Viruela forman el proyecto Viña Bilbaína. La casa de viñas data de 1717, sigue teniendo un fin agrícola aunque se complementa con un uso de actividades..."
Viñedos Bodega El Piraña,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/vinedos-bodega-el-pirana,vinedos-bodega-el-pirana,"Viñedos Bodega El Piraña es un proyecto vitivinícola situado en Trebujena que pone en valor el viñedo como origen y esencia del vino. En pleno paisaje de albariza del Bajo Guadalquivir, esta..."
