bodega,estado,precio_eur,tipo_probable,confianza,contexto,url,metodo,fecha_consulta
Bodega Cooperativa Albarizas,spa,,,,,https://vinosdealbarizas.com/,,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,24.0,visita + cata,alta,s de visitas diferentes: VISITAS Y CATAS VISITA GENERAL Ver más VG VISITA GENERAL Precio: 24.00€ VISITA CON QUESOS Ver más VCQ VISITA CON QUESOS Precio: 35.00€ VISITA CON IBÉRICOS Y QUES,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,35.0,visita,alta,VG VISITA GENERAL Precio: 24.00€ VISITA CON QUESOS Ver más VCQ VISITA CON QUESOS Precio: 35.00€ VISITA CON IBÉRICOS Y QUESOS Ver más VCI VISITA CON IBÉRICOS Y QUESOS Precio: 49.00€ VISI,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,49.0,cata premium,alta,cio: 35.00€ VISITA CON IBÉRICOS Y QUESOS Ver más VCI VISITA CON IBÉRICOS Y QUESOS Precio: 49.00€ VISITA PREMIUM RON DEL BARRILITO Ver más VPR VISITA PREMIUM RON DEL BARRILITO Precio: 75.,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,75.0,cata premium,alta,00€ VISITA PREMIUM RON DEL BARRILITO Ver más VPR VISITA PREMIUM RON DEL BARRILITO Precio: 75.00€ Created with Sketch. 0 Eventos disponibles Filtros No se encuentran resultados... Tour pr,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Mar 7,ok,13.0,visita + cata,alta,Catas Contacto Bodegas Instagram Facebook Seleccionar página EST. BODEGA 1840 Manzanilla 13€ Manzanilla pasada 15€ Mar 7 ofrece al consumidor una cuidadosa selección de los mejores,http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,15.0,sin clasificar,baja,s Instagram Facebook Seleccionar página EST. BODEGA 1840 Manzanilla 13€ Manzanilla pasada 15€ Mar 7 ofrece al consumidor una cuidadosa selección de los mejores vinos de la zona. Vino,http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,visita + cata,alta,"blemático y con la mejor calidad. Consultanos por las catas personalizadas Pedro Ximénez 26,40€ Amontillado 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, pedro",http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,visita + cata,alta,"mejor calidad. Consultanos por las catas personalizadas Pedro Ximénez 26,40€ Amontillado 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, pedro ximénez y vinos vie",http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,sin clasificar,baja,"ro ximénez y vinos viejos, algunos de los cuales, nunca han sido comercializados. Oloroso 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, Pedro Ximénez y vinos vie",http://despachodevinosmar7.com/,requests,2026-07-22
"Bodega, Viña Y Casa Rural Santa Petronila",ok,30.0,visita + cata,alta,visitas y catas*: Agosto: Martes 11h y Jueves 19h Resto del año: Domingos 11h Precio: 15–30 euros en función de número de vinos y personas * Sujeto a confirmación y preinscripción. Consul,https://santapetronila.com/visitas/,requests,2026-07-22
Bodegas Ac Wines & Spirits – Sucesores...,ok,40.0,visita + cata,alta,"isita con cata dura aproximadamente 1:30 horas AFORO Mínimo 8 personas / Máximo 20 PRECIO 40€ por persona. QUÉ Incluye: Contextualización histórica, explicación procesos tradicionales",https://acwines.es/visitas-y-catas/,navegador,2026-07-22
Bodegas Altanza,fetch_error,,,,,https://galeriadeljerez.com/,,2026-07-22
Bodegas Barbadillo,ok,45.0,visita + cata,alta,adillo – Incluye Aperitivos Previa reserva y bajo disponibilidad. Horario a acordar Cata: 45 € por persona Cata + visita: 65 € por persona Sin tiempo establecido Reservar Biológica Vin,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,65.0,visita + cata,alta,ia reserva y bajo disponibilidad. Horario a acordar Cata: 45 € por persona Cata + visita: 65 € por persona Sin tiempo establecido Reservar Biológica Vinos: Barbadillo Blanco | Trinidad,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,50.0,visita + cata,alta,íncipe – Incluye Aperitivos Previa reserva y bajo disponibilidad. Horario a acordar Cata: 50€ por persona Cata + visita: 70€ por persona Sin tiempo establecido Reservar Tipologías del,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,70.0,visita + cata,alta,via reserva y bajo disponibilidad. Horario a acordar Cata: 50€ por persona Cata + visita: 70€ por persona Sin tiempo establecido Reservar Tipologías del Marco Vinos: Mirabrás | Manzan,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,60.0,visita + cata,alta,Cilla – Incluye Aperitivos Previa reserva y bajo disponibilidad. Horario a acordar Cata: 60€ por persona Cata + visita: 80€ por persona Sin tiempo establecido Reservar Tipologías del,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,80.0,visita + cata,alta,via reserva y bajo disponibilidad. Horario a acordar Cata: 60€ por persona Cata + visita: 80€ por persona Sin tiempo establecido Reservar Tipologías del Marco con Vinos Viejos Vinos:,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,70.0,visita + cata,alta,o VORS – Incluye Aperitivos Previa reserva y bajo disponibilidad. Horario a acordar Cata: 70€ por persona Cata + visita: 90 € por persona Sin tiempo establecido Reservar Vinos Viejos,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,90.0,visita + cata,alta,via reserva y bajo disponibilidad. Horario a acordar Cata: 70€ por persona Cata + visita: 90 € por persona Sin tiempo establecido Reservar Vinos Viejos Incluyendo Reliquia Vinos: Mirab,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,100.0,visita + cata,alta,0 años – Incluye Aperitivos Previa reserva y bajo disponibilidad. Horario a acordar Cata: 100€ por persona Cata + visita: 120€ por persona Sin tiempo establecido Reservar Información y,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,120.0,visita + cata,alta,ia reserva y bajo disponibilidad. Horario a acordar Cata: 100€ por persona Cata + visita: 120€ por persona Sin tiempo establecido Reservar Información y reservas Teléfono : 956 385 521,https://www.barbadillo.com/visita-catas-especiales/,requests,2026-07-22
Bodegas Barbadillo,ok,40.0,visita,alta,": bajo a alto Ordenar por precio: alto a bajo Tarjeta de regalo Visita Bodegas Barbadillo 40,00 € Añadir ¿Dudas con tu reserva? Puedes consultarnos en: Teléfonos de contacto: 956 38 55 21",https://www.barbadillo.com/experiencias/,requests,2026-07-22
Bodegas Barbadillo,ok,5.0,visita,alta,a guiada al Museo + 1 copa de Manzanilla (solo grupos) Previa Reserva Precio por persona: 5€ (niños gratis) Duración: 30 min Visita guiada a Bodegas + Degustación 3 vinos Conoce Bode,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barbadillo,ok,20.0,visita,alta,:00 h Español Viernes Visitas nocturnas: 19.00 h Español Domingos 12:00 h Español Adulto: 20 €. Niños >13 años: 5 €. Niños <13 años: Gratis. Duración: 1 h 30 min Reservar Visita Museo,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barbadillo,ok,5.0,visita,alta,Visitas nocturnas: 19.00 h Español Domingos 12:00 h Español Adulto: 20 €. Niños >13 años: 5 €. Niños <13 años: Gratis. Duración: 1 h 30 min Reservar Visita Museo de la Manzanilla Visi,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barbadillo,ok,30.0,visita privada,alta,aracterísticos. Previa reserva. Mínimo 10 personas. Horario a acordar Precio por persona: 30 € Duración: 1 h 30 min Reservar Visita privada a Bodegas + Degustación 3 vinos + Aperitivos,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barbadillo,ok,40.0,visita + cata,alta,vo de ibéricos. Previa reserva. Mínimo 10 personas. Horario a acordar Precio por persona: 40 € Duración: 2 h Reservar Visita + Catas Especiales Descubre Barbadillo a través de una visi,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barbadillo,ok,45.0,sin clasificar,baja,tivos ibéricos. Previa reserva. Mínimo 10 personas. Horario a acordar Precio por persona: 45€ Duración: 2 h Reservar Reserva para eventos Espacios únicos Bodegas y jardines para la re,https://www.barbadillo.com/visitas-bodegas-barbadillo/,requests,2026-07-22
Bodegas Barón,sin_precio,,,,,https://bodegasbaron.es/,,2026-07-22
Bodegas Caydsa,ok,15.0,visita,alta,a: Español • Horario: Sábados a las 12h (Consulte disponibilidad para otro día) • Precio: 15€/pax • Reserva: Imprescindible reserva previa Telf.: 630765483; mail: visitasbodegascaydsa,https://www.caydsa.es/cooperativa-caydsa-visitas/,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,15.0,visita + cata,alta,ga Tipo de entrada Tipo Vinos de la Cata Vinos Precio € Visita a Museo (cata no incluída) 15.00€ Visita a Museo + Cata de 2 vinos Amontillado y Cream 20.00€ Visita a Museo + Cata de 4 vi,https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,20.0,visita + cata,alta,"ta a Museo (cata no incluída) 15.00€ Visita a Museo + Cata de 2 vinos Amontillado y Cream 20.00€ Visita a Museo + Cata de 4 vinos Fino, Amontillado, Palo Cortado y Cream 25.00€ Visita a",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,25.0,visita + cata,alta,"o y Cream 20.00€ Visita a Museo + Cata de 4 vinos Fino, Amontillado, Palo Cortado y Cream 25.00€ Visita a Museo + Cata de 2 VOS Amontillado VOS y Palo Cortado VOS 30.00€ Visita a Museo +",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,30.0,visita + cata,alta,Cortado y Cream 25.00€ Visita a Museo + Cata de 2 VOS Amontillado VOS y Palo Cortado VOS 30.00€ Visita a Museo + Cata de 2 VORS Amontillado VORS y Palo Cortado VORS 50.00€ Todas las cat,https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,50.0,visita + cata,alta,o Cortado VOS 30.00€ Visita a Museo + Cata de 2 VORS Amontillado VORS y Palo Cortado VORS 50.00€ Todas las catas incluyen un aperitivo salado de frutos secos . Accesible para personas co,https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,7.5,visita,alta,ar la documentación adecuada el día de la visita. Menores de 7 años Gratis De 7 a 12 años 7.50€ Estudiantes/Carné Joven/13 a 17 años -20% Jubilados -30% Estudiantes UCA (Universidad de,https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,20.0,visita + cata,alta,"sita : Visita completa con cata de dos vinos : Amontillado Solera y Cream, a un precio de 20 euros. Visita completa con cata de cuatro vinos : Fino, Amontillado Solera, Palo Cortado Solera",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,25.0,visita + cata,alta,"a de cuatro vinos : Fino, Amontillado Solera, Palo Cortado Solera y Cream, a un precio de 25 euros. Visita completa con cata de dos vinos VOS : Amontillado VOS y Palo Cortado VOS, a un pre",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,30.0,visita + cata,alta,"a completa con cata de dos vinos VOS : Amontillado VOS y Palo Cortado VOS, a un precio de 30 euros. Visita completa con cata de dos vinos VORS : Amontillado VORS y Palo Cortado VORS, a un",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,50.0,visita + cata,alta,"ompleta con cata de dos vinos VORS : Amontillado VORS y Palo Cortado VORS, a un precio de 50 euros. Tan solo la visita completa no incluye cata de vinos, y tiene un precio de 15 euros. ¿En",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,15.0,visita + cata,alta,"o de 50 euros. Tan solo la visita completa no incluye cata de vinos, y tiene un precio de 15 euros. ¿En qué idiomas se hace la visita a la bodega? Las visitas se realizan en los idiomas: E",https://cayetanodelpino.com/visitas,requests,2026-07-22
Bodegas Cayetano Del Pino,ok,15.0,visita + cata,alta,da Tipo de entrada Tipo Vinos de la Cata Vinos Precio € Visita a Museo (cata no incluída) 15.00€ Visita a Museo + Cata de 2 vinos Amontillado y Cream 20.00€ Visita a Museo + Cata de 4 vi,https://cayetanodelpino.com/visitas/regala-una-experiencia-bodeguera,requests,2026-07-22
Bodegas Cortijo De Jara,sin_precio,,,,,https://cortijodejara.es/,,2026-07-22
Bodegas Dios Baco,sin_precio,,,,,https://bodegasdiosbaco.com/,,2026-07-22
Bodegas Díez Mérito,sin_precio,,,,,https://diezmerito.com/,,2026-07-22
Bodegas Espinosa De Los Monteros,sin_precio,,,,,https://www.bodegasespinosadelosmonteros.com/,,2026-07-22
Bodegas Forlong,ok,26.0,visita + cata,alta,"y su enclave único Zona de elaboración Sala de crianza Cata de 3 vinos ~1,5h de duración 26€/persona Esp-Ing-Fra Ubicación Ctra. de Jerez-Rota, Km 5 – 11500 El Pto. Sta. María, Cádiz",https://bodegadeforlong.com/visitas_reservas/,requests,2026-07-22
Bodegas Forlong,ok,50.0,sin clasificar,baja,"viernes de julio y agosto. 🕗 Horario: De 20:00 h a 23:00 h. 💬 Idioma: Español. 💶 Precio: 50 € por persona. Ubicación Ctra. de Jerez-Rota, Km 5 – 11500 El Pto. Sta. María, Cádiz. (Fren",https://bodegadeforlong.com/visitas_atardecer/,requests,2026-07-22
Bodegas Fundador,ok,52.0,cata premium,alta,llota sobre crema de salmorejo Fundador Supremo 15 YO Amontillado Premium Tocino de cielo 52€/ PAX FUNDADOR PRESTIGE Fino Torre de Macharnudo Jamón Ibérico de bellota Enrique Tomás Ha,https://brandyfundador.com/casa-fundador/,navegador,2026-07-22
Bodegas Fundador,ok,95.0,visita con gastronomía/maridaje,alta,"r Especial Tiramisú al instante con Fundador Sherry Cask Cóctel Fundador Negroni Macarons 95€/ PAX JEREZ CAPITALIDAD GASTRONÓMICA Magas by Fundador (Fundador Sherry Cask Doble Madera,",https://brandyfundador.com/casa-fundador/,navegador,2026-07-22
Bodegas Fundador,ok,55.0,visita,alta,laseada al Fundador Triple Madera Terry Espresso Trifle jerezano al Harveys Bristol Cream 55€/ PAX La Carta de Restaurante Casa Fundador 2025 Nuestros servicios Visita bodega Casa Fun,https://brandyfundador.com/casa-fundador/,navegador,2026-07-22
Bodegas González Byass – Tío Pepe,ok,42.0,visita,alta,"ectáculo ecuestre acompañado de 2 vinos y tapas. Disponible todos los miércoles de Agosto 42,00 € por adulto Reserva ahora Image Visita especial Luxury Verano Disfruta los sábados de Juli",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,98.0,visita con gastronomía/maridaje,alta,"n cata en el botellero histórico y almuerzo maridado en nuestro Restaurante Pedro Nolasco 98,00 € por adulto Reserva ahora Image Experiencia Tio Pepe Visita guiada y degustación de 2 tipo",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,25.5,experiencia,alta,"Reserva ahora Image Experiencia Tio Pepe Visita guiada y degustación de 2 tipos de vinos. 25,50 € por adulto Reservar ahora Image Visita Tio Pepe y olé Gildas con queso Visita guiada y de",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,27.5,visita,alta,"olé Gildas con queso Visita guiada y degustación de 2 tipos de vinos con gildas y quesos 27,50 € por adulto Reservar ahora Image Los colores del Jerez Visita guiada y degustación de 4 vi",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,28.5,visita,alta,"servar ahora Image Los colores del Jerez Visita guiada y degustación de 4 vinos de Jerez. 28,50 € por adulto Reservar ahora Image Visita entre tapas Visita guiada y degustación de 2 tipos",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,30.5,visita,alta,"ahora Image Visita entre tapas Visita guiada y degustación de 2 tipos de vinos y ""tapas"". 30,50 € por adulto Reservar ahora Image Entre vinos y tapas Visita guiada y degustación de 4 vino",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,33.5,cata premium,alta,"eservar ahora Image Entre vinos y tapas Visita guiada y degustación de 4 vinos y ""tapas"". 33,50 € por adulto Reservar ahora Image Visita Premium VORS Visita a la bodega con degustación de",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,50.0,cata premium,alta,"e Visita Premium VORS Visita a la bodega con degustación de Fino Tio Pepe y 4 vinos VORS. 50,00 € por adulto Reservar ahora Image Sherry Cask Visita guiada y Degustación de Fino Tio Pepe,",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas González Byass – Tío Pepe,ok,50.0,visita + cata,alta,"y Cask Visita guiada y Degustación de Fino Tio Pepe, Brandy Lepanto Gran Reserva y Nomad. 50,00 € por adulto Reservar ahora Catas Si además de conocer las bodegas quieres sorprenderte con",https://www.tiopepe.com/es-es/experiencias,requests,2026-07-22
Bodegas Gutiérrez Colosía,sin_precio,,,,,http://www.gutierrezcolosia.com/,,2026-07-22
Bodegas Halcón,spa,,,,,https://www.bodegashalcon.es/,,2026-07-22
Bodegas Herederos De Argüeso,sin_precio,,,,,https://herederosdeargueso.com/,,2026-07-22
Bodegas Hidalgo – La Gitana,ok,3.7,sin clasificar,baja,"Triana spritz Vermut Vino Blanco VORS VOS Quizás te pueda interesar Manzanilla La Gitana 3,70 € - 6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 €",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,6.9,sin clasificar,baja,"pritz Vermut Vino Blanco VORS VOS Quizás te pueda interesar Manzanilla La Gitana 3,70 € - 6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 €",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,3.7,sin clasificar,baja,"OS Quizás te pueda interesar Manzanilla La Gitana 3,70 € - 6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 €",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,6.9,sin clasificar,baja,"pueda interesar Manzanilla La Gitana 3,70 € - 6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,6.5,sin clasificar,baja,"3,70 € - 6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50 € Manzanilla Pasada Pastrana 15,75 €",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,12.5,sin clasificar,baja,"6,90 € Rango de precios: desde 3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50 € Manzanilla Pasada Pastrana 15,75 € NUESTRAS",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,6.5,sin clasificar,baja,"3,70 € hasta 6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50 € Manzanilla Pasada Pastrana 15,75 € NUESTRAS MANZANILLAS Menú Manzanilla La",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,12.5,sin clasificar,baja,"6,90 € Manzanilla La Gitana en Rama 6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50 € Manzanilla Pasada Pastrana 15,75 € NUESTRAS MANZANILLAS Menú Manzanilla La Gitana Manzani",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,15.75,sin clasificar,baja,"6,50 € - 12,50 € Rango de precios: desde 6,50 € hasta 12,50 € Manzanilla Pasada Pastrana 15,75 € NUESTRAS MANZANILLAS Menú Manzanilla La Gitana Manzanilla La Gitana en Rama Manzanilla La",https://bodegashidalgolagitana.com/shop,requests,2026-07-22
Bodegas Hidalgo – La Gitana,ok,39.9,visita + cata,alta,"Restaurante Entrebotas Eventos Evento Triana Spritz Contacto 0,00 € 0 Cart CATA PARA DOS 39,90 € Regala una visita guiada con cata de cinco vinos con copa en mano. Un paseo por nuestras",https://bodegashidalgolagitana.com/visitas/bonos/,requests,2026-07-22
Bodegas Luis Pérez,sin_precio,,,,,http://bodegasluisperez.com/,,2026-07-22
Bodegas Lustau,ok,25.65,sin clasificar,baja,"lera Gran Reserva D.O. Jerez Seco 40 % Años 10 Airen Saber Más Brandy Solera Gran Reserva 25,65 € IVA inc. + Brandy Solera Gran Reserva – Family Reserve (50 cl) D.O. Jerez Seco 43 % Años",https://lustau.es/tienda/brandy-de-jerez/lustau-brandy-solera-reserva/,requests,2026-07-22
Bodegas Lustau,ok,84.7,sin clasificar,baja,"rez Seco 43 % Años 25 Airen Saber Más Brandy Solera Gran Reserva – Family Reserve (50 cl) 84,70 € IVA inc. NUESTRA COLECCIÓN VINOS DE JEREZ VERMUT BRANDY DE JEREZ VINAGRE DE JEREZ bodegas",https://lustau.es/tienda/brandy-de-jerez/lustau-brandy-solera-reserva/,requests,2026-07-22
Bodegas Lustau,ok,15.7,sin clasificar,baja,"+ Brandy Solera Reserva D.O. Jerez Seco 40 % Años 3 Airen Saber Más Brandy Solera Reserva 15,70 € IVA inc. + Brandy Solera Gran Reserva – Family Reserve (50 cl) D.O. Jerez Seco 43 % Años",https://lustau.es/tienda/brandy-de-jerez/lustau-brandy-solera-gran-reserva/,requests,2026-07-22
Bodegas Manuel Aragón,ok,26.0,visita + cata,alta,"nos varietales Add to Wishlist  Volver atrás Go back Geh zurück   V Cata Puesta de Sol 26,00 € Impuestos incluidos V Cata Puesta de Sol en la Bodega (4 Julio 20:30 h.) Bodega de Campan",https://www.bodegamanuelaragon.com/es/inicio/188-v-cata-puesta-de-sol.html,navegador,2026-07-22
Bodegas Manuel Aragón,ok,6.98,sin clasificar,baja,"os vinos y productos gourmet Add to Wishlist Sin Stock Vinos Tranquilos SEÑORÍO DE GALDÓN 6,98 € Variedad de uva: Moscatel de Alejandría Tipo de Vino: Blanco Semidulce Monovarietal Mosca",https://www.bodegamanuelaragon.com/es/inicio/188-v-cata-puesta-de-sol.html,navegador,2026-07-22
Bodegas Manuel Aragón,ok,3.5,sin clasificar,baja,"dor: A-626-CA(ES) Add to Wishlist Sin Stock Productos Gourmet PIMIENTOS ASADOS CAMPO RICO 3,50 € 1 Productos relacionados por marca Add to Wishlist Productos Gourmet LOMO DE ATÚN DE ALET",https://www.bodegamanuelaragon.com/es/inicio/188-v-cata-puesta-de-sol.html,navegador,2026-07-22
Bodegas Manuel Aragón,ok,16.25,cata premium,alta,"marca Add to Wishlist Productos Gourmet LOMO DE ATÚN DE ALETA AMARILLA DE 942 Gr. HERPAC 16,25 € Add to Wishlist Visitas a la Bodega Visita Bodega Premium + Menú 87,00 € La visita se com",https://www.bodegamanuelaragon.com/es/inicio/188-v-cata-puesta-de-sol.html,navegador,2026-07-22
Bodegas Manuel Aragón,ok,87.0,cata premium,alta,"E 942 Gr. HERPAC 16,25 € Add to Wishlist Visitas a la Bodega Visita Bodega Premium + Menú 87,00 € La visita se compone de: - Recorrido por Viñas y Zona de Elaboración, - Visita a la Soler",https://www.bodegamanuelaragon.com/es/inicio/188-v-cata-puesta-de-sol.html,navegador,2026-07-22
